id,municipio,codmun
1,Abrantes,1401
2,Águeda,0101
3,Aguiar da Beira,0901
4,Alandroal,0701
5,Albergaria-a-Velha,0102
6,Albufeira,0801
7,Alcácer do Sal,1501
8,Alcanena,1402
9,Alcobaça,1001
10,Alcochete,1502
11,Alcoutim,0802
12,Alenquer,1101
13,Alfândega da Fé,0401
14,Alijó,1701
15,Aljezur,0803
16,Aljustrel,0201
17,Almada,1503
18,Almeida,0902
19,Almeirim,1403
20,Almodôvar,0202
21,Alpiarça,1404
22,Alter do Chão,1201
23,Alvaiázere,1002
24,Alvito,0203
25,Amadora,1115
26,Amarante,1301
27,Amares,0301
28,Anadia,0103
29,Ansião,1003
30,Arcos de Valdevez,1601
31,Arganil,0601
32,Armamar,1801
33,Arouca,0104
34,Arraiolos,0702
35,Arronches,1202
36,Arruda dos Vinhos,1102
37,Aveiro,0105
38,Avis,1203
39,Azambuja,1103
40,Baião,1302
41,Barcelos,0302
42,Barrancos,0204
43,Barreiro,1504
44,Batalha,1004
45,Beja,0205
46,Belmonte,0501
47,Benavente,1405
48,Bombarral,1005
49,Borba,0703
50,Boticas,1702
51,Braga,0303
52,Bragança,0402
53,Cabeceiras de Basto,0304
54,Cadaval,1104
55,Caldas da Rainha,1006
56,Caminha,1602
57,Campo Maior,1204
58,Cantanhede,0602
59,Carrazeda de Ansiães,0403
60,Carregal do Sal,1802
61,Cartaxo,1406
62,Cascais,1105
63,Castanheira de Pêra,1007
64,Castelo Branco,0502
65,Castelo de Paiva,0106
66,Castelo de Vide,1205
67,Castro Daire,1803
68,Castro Marim,0804
69,Castro Verde,0206
70,Celorico da Beira,0903
71,Celorico de Basto,0305
72,Chamusca,1407
73,Chaves,1703
74,Cinfães,1804
75,Coimbra,0603
76,Condeixa-a-Nova,0604
77,Constância,1408
78,Coruche,1409
79,Covilhã,0503
80,Crato,1206
81,Cuba,0207
82,Elvas,1207
83,Entroncamento,1410
84,Espinho,0107
85,Esposende,0306
86,Estarreja,0108
87,Estremoz,0704
88,Évora,0705
89,Fafe,0307
90,Faro,0805
91,Felgueiras,1303
92,Ferreira do Alentejo,0208
93,Ferreira do Zêzere,1411
94,Figueira da Foz,0605
95,Figueira de Castelo Rodrigo,0904
96,Figueiró dos Vinhos,1008
97,Fornos de Algodres,0905
98,Freixo de Espada à Cinta,0404
99,Fronteira,1208
100,Fundão,0504
101,Gavião,1209
102,Góis,0606
103,Golegã,1412
104,Gondomar,1304
105,Gouveia,0906
106,Grândola,1505
107,Guarda,0907
108,Guimarães,0308
109,Idanha-a-Nova,0505
110,Ílhavo,0110
111,Lagoa,0806
112,Lagos,0807
113,Lamego,1805
114,Leiria,1009
115,Lisboa,1106
116,Loulé,0808
117,Loures,1107
118,Lourinhã,1108
119,Lousã,0607
120,Lousada,1305
121,Mação,1413
122,Macedo de Cavaleiros,0405
123,Mafra,1109
124,Maia,1306
125,Mangualde,1806
126,Manteigas,0908
127,Marco de Canaveses,1307
128,Marinha Grande,1010
129,Marvão,1210
130,Matosinhos,1308
131,Mealhada,0111
132,Mêda,0909
133,Melgaço,1603
134,Mértola,0209
135,Mesão Frio,1704
136,Mira,0608
137,Miranda do Corvo,0609
138,Miranda do Douro,0406
139,Mirandela,0407
140,Mogadouro,0408
141,Moimenta da Beira,1807
142,Moita,1506
143,Monção,1604
144,Monchique,0809
145,Mondim de Basto,1705
146,Monforte,1211
147,Montalegre,1706
148,Montemor-o-Novo,0706
149,Montemor-o-Velho,0610
150,Montijo,1507
151,Mora,0707
152,Mortágua,1808
153,Moura,0210
154,Mourão,0708
155,Murça,1707
156,Murtosa,0112
157,Nazaré,1011
158,Nelas,1809
159,Nisa,1212
160,Óbidos,1012
161,Odemira,0211
162,Odivelas,1116
163,Oeiras,1110
164,Oleiros,0506
165,Olhão,0810
166,Oliveira de Azeméis,0113
167,Oliveira de Frades,1810
168,Oliveira do Bairro,0114
169,Oliveira do Hospital,0611
170,Ourém,1421
171,Ourique,0212
172,Ovar,0115
173,Paços de Ferreira,1309
174,Palmela,1508
175,Pampilhosa da Serra,0612
176,Paredes,1310
177,Paredes de Coura,1605
178,Pedrógão Grande,1013
179,Penacova,0613
180,Penafiel,1311
181,Penalva do Castelo,1811
182,Penamacor,0507
183,Penedono,1812
184,Penela,0614
185,Peniche,1014
186,Peso da Régua,1708
187,Pinhel,0910
188,Pombal,1015
189,Ponte da Barca,1606
190,Ponte de Lima,1607
191,Ponte de sor,1213
192,Portalegre,1214
193,Portel,0709
194,Portimão,0811
195,Porto,1312
196,Porto de Mós,1016
197,Póvoa de Lanhoso,0309
198,Póvoa de Varzim,1313
199,Proença-a-Nova,0508
200,Redondo,0710
201,Reguengos de Monsaraz,0711
202,Resende,1813
203,Ribeira de Pena,1709
204,Rio Maior,1414
205,Sabrosa,1710
206,Sabugal,0911
207,Salvaterra de Magos,1415
208,Santa Comba Dão,1814
209,Santa Maria da Feira,0109
210,Santa Marta de Penaguião,1711
211,Santarém,1416
212,Santiago do Cacém,1509
213,Santo Tirso,1314
214,São Brás de Alportel,0812
215,São João da Madeira,0116
216,São João da Pesqueira,1815
217,São Pedro do Sul,1816
218,Sardoal,1417
219,Sátão,1817
220,Seia,0912
221,Seixal,1510
222,Sernancelhe,1818
223,Serpa,0213
224,Sertã,0509
225,Sesimbra,1511
226,Setúbal,1512
227,Sever do Vouga,0117
228,Silves,0813
229,Sines,1513
230,Sintra,1111
231,Sobral de Monte Agraço,1112
232,Soure,0615
233,Sousel,1215
234,Tábua,0616
235,Tabuaço,1819
236,Tarouca,1820
237,Tavira,0814
238,Terras de Bouro,0310
239,Tomar,1418
240,Tondela,1821
241,Torre de Moncorvo,0409
242,Torres Novas,1419
243,Torres Vedras,1113
244,Trancoso,0913
245,Trofa,1318
246,Vagos,0118
