id,tabela,nome_do_campo,descricao,alias,tipo_de_data
1,CATALOGO ,Tema ,Agregação de tipologias de áreas a incluir na REN ou áreas a excluir da REN. ,Tema ,Texto  
2,CATALOGO ,Subtema ,Nome da tipologia de área a incluir na REN ou do tipo de exclusão da REN. ,Subtema ,Texto 
3,CATALOGO ,NomeObje ,Designação do objeto. ,Nome do Objeto ,Texto 
4,CATALOGO ,CodObje ,Código do objeto utilizado no catálogo de objetos. Campo que identifica univocamente cada linha da tabela. É a chave primária da tabela auxiliar que funciona como chave estrangeira para as tabelas gráficas. ,Código do Objeto ,Texto 
5,CATALOGO ,Legenda ,Texto que identifica o objeto na “Legenda da simbologia” da carta da REN  ,Legenda ,Texto  
6,DTCC_TIP_L ,ID_Tip_L ,"Campo de numeração automática e crescente, que identifica univocamente cada linha da tabela. ",ID_Tipologias_L ,Número automático 
7,DTCC_TIP_L ,CodObje ,Código do objeto utilizado no catálogo de objetos (códigos 21 e 22). É a chave primária da tabela gráfica. ,Código do Objeto ,Texto 
8,DTCC_TIP_L ,Comp_m ,Distância entre o ponto inicial e o final medida em metros. ,Comprimento (m) ,Número 
9,DTCC_DET_TIP_L ,ID_D_Tip_L ,"Campo de numeração automática e crescente, que identifica univocamente cada linha da tabela. ",ID_Detalhe_Tipologias_L ,Número automático 
10,DTCC_DET_TIP_L ,CodObje ,Código do objeto utilizado no catálogo de objetos (códigos 21 e 22). É a chave primária da tabela gráfica. ,Código do Objeto ,Texto 
11,DTCC_DET_TIP_L ,Comp_m ,Distância entre o ponto inicial e o final medida em metros. ,Comprimento (m) ,Número 
12,DTCC_TIP_P ,ID_Tip_P ,"Campo de numeração automatica e crescente, que identifica univocamente cada linha da tabela. ",ID_Tipologias_P ,Número automático 
13,DTCC_TIP_P ,CodObje ,Código do objeto utilizado no catálogo de objetos (códigos 1 a 36). É a chave primária da tabela gráfica. ,Código do Objeto ,Texto 
14,DTCC_TIP_P ,Area_m2 ,Medida da superfície do polígono em metros quadrados. ,Área (m2) ,Número 
15,DTCC_DET_TIP_P ,ID_D_Tip_P ,"Campo de numeração automatica e crescente, que identifica univocamente cada linha da tabela. ",ID_Detalhe_Tipologias_P ,Número automático 
16,DTCC_DET_TIP_P ,CodObje ,Código do objeto utilizado no catálogo de objetos (códigos 1 a 36). É a chave primária da tabela gráfica. ,Código do Objeto ,Texto 
17,DTCC_DET_TIP_P ,Area_m2 ,Medida da superfície do polígono em metros quadrados. ,Área (m2) ,Número 
18,DTCC_EXCL_P ,ID_Excl_P ,"Campo de numeração automatica e crescente, que identifica univocamente cada linha da tabela. ",ID_Exclusões_P ,Número automático 
19,DTCC_EXCL_P ,Exclusao ,Tipo e número de ordem da exclusão (de C1 a Cn e E1 a En) ,Exclusão ,Texto
20,DTCC_EXCL_P ,CodObje ,Código do objeto utilizado no catálogo de objetos (códigos 37 e 38). É a chave primária da tabela secundária. ,Código do Objeto ,Texto 
21,DTCC_EXCL_P ,Area_m2 ,Medida da superfície do polígono em metros quadrados. ,Superfície (m2) ,Número 
22,DTCC_EXCL_P ,Fundamento ,Fundamentação da necessidade de exclusão. ,Fundamentação ,Texto 
23,DTCC_EXCL_P ,FimDest ,Fim a que se destina a area a excluir. ,Fim a que se destina ,Texto 
24,DTCC_DET_EXCL_P,ID_D_Excl_P ,"Campo de numeração automáatica e crescente, que identifica univocamente cada linha da tabela. ",ID_Detalhe_Exclusões_P ,Número automático 
25,DTCC_DET_EXCL_P,Exclusao ,Tipo e número de ordem da exclusão (de C1 a Cn e E1 a En) ,Exclusão ,Texto
26,DTCC_DET_EXCL_P,CodObje ,Código do objeto utilizado no catálogo de objetos (códigos 37 e 38). É a chave primária da tabela secundária. ,Código do Objeto ,Texto 
27,DTCC_DET_EXCL_P,Area_m2 ,Medida da superfície do polígono em metros quadrados. ,Superfície (m2) ,Número 
28,DTCC_EXCL_TIP ,ID_Tip_Excl ,"Campo de numeração automáatica e crescente, que identifica univocamente cada linha da tabela. ",ID_Tipologias_Exclusoes ,Número automático 
29,DTCC_EXCL_TIP ,ID_Tip_P ,Campo de numeração automáatica da tabela DTCC_TIPOLOGIAS_POLIGONOS ,ID_Tipologias_P ,Número 
30,DTCC_EXCL_TIP ,ID_Excl_P ,Campo de numeração automáatica da tabela DTCC_EXCLUSOES_POLIGONOS ,ID_Exclusoes_P ,Número 
31,DTCC_DET_EXCL_TIP ,ID_D_Tip_Excl ,"Campo de numeração automatica e crescente, que identifica univocamente cada linha da tabela. ",ID_Tipologias_Exclusoes ,Número automático 
32,DTCC_DET_EXCL_TIP ,ID_D_Tip_P ,Campo de numeração automatica da tabela DTCC_DETALHE_TIPOLOGIAS_POLIGONOS ,ID_Detalhe_Tipologias_P ,Número 
33,DTCC_DET_EXCL_TIP ,ID_D_Excl_P ,Campo de numeração automatica da tabela DTCC__DETALHE_EXCLUSOES_POLIGONOS ,ID_Detalhe_Exclusoes_P ,Número 
